corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.rt,directionResponses.started,directionResponses.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,17.27827739994973,None,20.061936700018123,None,['s'],0,[0.6678226001095027],20.061936700018123,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,1,0,1,0,,,20.751708399970084,None,['s'],0,[0.6043122999835759],20.751708399970084,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,2,0,2,0,,,21.383655299898237,None,['s'],0,[0.5289175999350846],21.383655299898237,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,3,0,3,0,,,21.93531069997698,None,['s'],0,[0.5276951000560075],21.93531069997698,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,4,0,4,0,,,22.48507559997961,None,['s'],0,[0.4931135999504477],22.48507559997961,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,5,0,5,0,,,23.000025500077754,None,['s'],0,[0.49096830002963543],23.000025500077754,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,6,0,6,0,,,23.51513070007786,None,['s'],0,[0.4957681999076158],23.51513070007786,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,7,0,7,0,,,24.03272629994899,None,['s'],0,[0.5200944000389427],24.03272629994899,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,8,0,8,0,,,24.582403199980035,None,['s'],0,[0.4369155999738723],24.582403199980035,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,9,0,9,0,,,25.048087700037286,None,['s'],0,[0.47585990000516176],25.048087700037286,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,10,0,10,0,,,25.546214600093663,None,['s'],0,[0.4938827999867499],25.546214600093663,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,11,0,11,0,,,26.063240400049835,None,['s'],0,[0.5042392001487315],26.063240400049835,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,12,0,12,0,,,26.595922600012273,None,['s'],0,[0.45019529992714524],26.595922600012273,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,13,0,13,0,,,27.076879000058398,None,['s'],0,[0.47020080010406673],27.076879000058398,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,14,0,14,0,,,27.57724320003763,None,['s'],0,[0.45364019996486604],27.57724320003763,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
