corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.rt,directionResponses.started,directionResponses.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,15,0,15,0,,,28.0606364000123,None,['s'],0,[0.48073379998095334],28.0606364000123,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,16,0,16,0,,,28.561947300098836,None,['s'],0,[0.46195649984292686],28.561947300098836,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,17,0,17,0,,,29.04512650007382,None,['s'],0,[0.4961792000103742],29.04512650007382,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,18,0,18,0,,,29.560958199901506,None,['s'],0,[0.46284230006858706],29.560958199901506,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,19,0,19,0,,,30.043184000067413,None,['s'],0,[0.4598433000501245],30.043184000067413,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,20,0,20,0,,,30.525707500055432,None,['s'],0,[0.43738569994457066],30.525707500055432,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,21,0,21,0,,,30.991727499989793,None,['s'],0,[0.4595329000148922],30.991727499989793,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,22,0,22,0,,,31.476293199928477,None,['s'],0,[0.4303576999809593],31.476293199928477,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,23,0,23,0,,,31.92478600004688,None,['s'],0,[0.4525678001809865],31.92478600004688,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,24,0,24,0,,,32.407425299985334,None,['s'],0,[0.4194519000593573],32.407425299985334,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,25,0,25,0,,,32.85761779989116,None,['s'],0,[0.43201939994469285],32.85761779989116,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,26,0,26,0,,,33.322908400092274,None,['s'],0,[0.42435749992728233],33.322908400092274,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,27,0,27,0,,,33.77372649987228,None,['s'],0,[0.40972590004093945],33.77372649987228,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,28,0,28,0,,,34.207123399944976,None,['s'],0,[0.41447299998253584],34.207123399944976,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,29,0,29,0,,,34.639965899987146,None,['s'],0,[0.425945800030604],34.639965899987146,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,30,0,30,0,,,35.089141899952665,None,['s'],0,[0.42377690016292036],35.089141899952665,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
s,s = left,31,0,31,0,,,35.538404299877584,None,['s'],0,[0.39938630000688136],35.538404299877584,None,,,1,001,2020_Nov_05_2313,road map expt,2020.2.4,60.03737929137875,
,,,,,,,,,,,,,,,35.96834470005706,None,,,,,,,
