corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,28,9.183955800021067,None,['s'],0,[0.82504150015302],10.14361729985103,None,10.14361729985103,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,1,1,22,,,['s'],0,[1.2748634000308812],10.993791099870577,None,10.993791099870577,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,2,2,3,,,['k'],0,[1.2913444000296295],12.289016199996695,None,12.289016199996695,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,k = right,0,3,3,1,,,['k'],0,[1.317611100152135],13.598885899875313,None,13.598885899875313,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,4,4,15,,,['s'],0,[1.2170478000771254],14.934057799866423,None,14.934057799866423,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,5,5,20,,,['s'],0,[1.0407085998449475],16.181788600049913,None,16.181788600049913,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,6,6,10,,,['k'],0,[0.9671161000151187],17.250366599997506,None,17.250366599997506,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,7,7,27,,,['k'],0,[0.8227999000810087],18.24473759997636,None,18.24473759997636,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,8,8,30,,,['k'],0,[1.1377449000719935],19.094064199831337,None,19.094064199831337,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,9,9,19,,,['s'],0,[3.2522496001329273],20.26190649997443,None,20.26190649997443,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,10,10,21,,,['k'],0,[0.8821463999338448],23.54033589991741,None,23.54033589991741,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,11,11,2,,,['s'],0,[0.8808134999126196],24.443977599963546,None,24.443977599963546,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,12,12,11,,,['s'],0,[1.0453735999763012],25.35922640003264,None,25.35922640003264,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,13,13,8,,,['k'],0,[1.605019100010395],26.422463099937886,None,26.422463099937886,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,14,14,12,,,['k'],0,[1.5190101000480354],28.053505799965933,None,28.053505799965933,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,15,15,31,,,['s'],0,[0.8986354998778552],29.602475499967113,None,29.602475499967113,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,s = left,0,16,16,0,,,['k'],0,[3.0208848000038415],30.519057099940255,None,30.519057099940255,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,17,17,23,,,['k'],0,[1.9949998001102358],33.56554690003395,None,33.56554690003395,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,18,18,5,,,['s'],0,[0.7882741999346763],35.58089890005067,None,35.58089890005067,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,19,19,18,,,['s'],0,[1.5724394000135362],36.39752759994008,None,36.39752759994008,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,20,20,24,,,['k'],0,[1.3473799999337643],38.00160009996034,None,38.00160009996034,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,21,21,16,,,['k'],0,[2.1025897001381963],39.379281299887225,None,39.379281299887225,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,22,22,29,,,['s'],0,[4.675561300013214],41.508936899947,None,41.508936899947,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,23,23,9,,,['s'],0,[24.587084600003436],46.20566629990935,None,46.20566629990935,66.20448830001988,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
s,None,0,24,24,4,,,['s'],0,[0.6510468998458236],70.82162289996631,None,70.82162289996631,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
k,None,0,25,25,13,,,['s'],0,[0.1175212999805808],71.50094800000079,None,71.50094800000079,None,1,001,2020_Nov_02_1407,road map expt,2020.2.4,60.12061395627266,
