corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.rt,directionResponses.started,directionResponses.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,14.354280399857089,None,15.141500499797985,None,['s'],0,[0.40954709984362125],15.141500499797985,None,,,1,001,2020_Nov_05_2308,road map expt,2020.2.4,60.13059167537322,
,,,,,,,,,,,,,,,15.581144199939445,None,,,,,,,
