corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,21,22.102685699937865,None,['s'],0,[0.9389979999978095],27.983633199939504,None,27.983633199939504,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,1,1,27,,,['k'],0,[0.3363338999915868],28.944184600142762,None,28.944184600142762,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,2,2,12,,,['s'],0,[0.37994929985143244],29.30851580016315,None,29.30851580016315,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,3,3,22,,,['k'],0,[0.36239939997904],29.70982510014437,None,29.70982510014437,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,4,4,25,,,['s'],0,[0.413109099958092],30.092973600141704,None,30.092973600141704,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,5,5,7,,,['k'],0,[0.371575600001961],30.525186100043356,None,30.525186100043356,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,6,6,11,,,['s'],0,[0.36674819979816675],30.925580500159413,None,30.925580500159413,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,7,7,16,,,['k'],0,[0.36421289993450046],31.322210300015286,None,31.322210300015286,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,8,8,30,,,['s'],0,[0.34613980003632605],31.70793340005912,None,31.70793340005912,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,9,9,17,,,['k'],0,[0.34625589987263083],32.0744563001208,None,32.0744563001208,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,10,10,4,,,['s'],0,[0.41386079997755587],32.44124970003031,None,32.44124970003031,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,11,11,15,,,['k'],0,[0.347661399981007],32.87344200001098,None,32.87344200001098,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,12,12,28,,,['s'],0,[0.35232529998756945],33.23837759997696,None,33.23837759997696,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,13,13,18,,,['k'],0,[0.3363336999900639],33.61974039999768,None,33.61974039999768,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,s = left,0,14,14,0,,,['s'],0,[0.3656501001678407],33.986012700013816,None,33.986012700013816,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,15,15,13,,,['k'],0,[0.34553509997203946],34.37137460010126,None,34.37137460010126,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,16,16,14,,,['s'],0,[0.37607310013845563],34.737377600045875,None,34.737377600045875,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,k = right,0,17,17,1,,,['k'],0,[0.35416899994015694],35.138004099950194,None,35.138004099950194,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,18,18,31,,,['s'],0,[0.35984040005132556],35.51928080013022,None,35.51928080013022,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,19,19,8,,,['k'],0,[0.3184549000579864],35.90397370001301,None,35.90397370001301,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,20,20,24,,,['s'],0,[0.3523629999253899],36.25179290003143,None,36.25179290003143,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,21,21,5,,,['k'],0,[0.3349918001331389],36.63469190010801,None,36.63469190010801,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,22,22,29,,,['s'],0,[0.38303619995713234],37.00106839998625,None,37.00106839998625,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,23,23,3,,,['k'],0,[0.3403060999698937],37.40583760011941,None,37.40583760011941,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,24,24,10,,,['s'],0,[0.34544990002177656],37.77002599998377,None,37.77002599998377,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,25,25,2,,,['k'],0,[0.3708927999250591],38.132303500082344,None,38.132303500082344,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,26,26,19,,,['s'],0,[0.34323420003056526],38.53337770001963,None,38.53337770001963,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,27,27,20,,,['k'],0,[0.37856000009924173],38.90220140013844,None,38.90220140013844,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,28,28,9,,,['s'],0,[0.3506817000452429],39.30201250012033,None,39.30201250012033,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
k,None,0,29,29,6,,,['k'],0,[0.35283289989456534],39.68523030006327,None,39.68523030006327,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
s,None,0,30,30,26,,,['s'],0,[0.28296720003709197],40.07073000003584,None,40.07073000003584,None,,,,,,,1,001,2020_Nov_01_2102,road map expt,2020.2.4,60.07268794642661,
