corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,7,16.255286999978125,None,['k'],0,[26.2951822001487],27.030973799992353,None,27.030973799992353,47.03101660008542,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,1,1,5,,,['k'],0,[1.1779201000463217],53.34464849997312,None,53.34464849997312,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,2,2,19,,,['s'],0,[1.3165219000075012],54.54376420006156,None,54.54376420006156,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,3,3,13,,,['k'],0,[0.18489639996550977],55.87586150015704,None,55.87586150015704,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,4,4,4,,,['s'],0,[0.29257849999703467],56.09241769998334,None,56.09241769998334,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,5,5,2,,,['k'],0,[0.18954690010286868],56.408854900160804,None,56.408854900160804,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,6,6,8,,,['k'],0,[0.17144579999148846],56.6253581000492,None,56.6253581000492,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,7,7,25,,,['s'],0,[0.11754760006442666],56.82455740007572,None,56.82455740007572,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,8,8,30,,,['k'],0,[0.1437025999184698],56.95846120011993,None,56.95846120011993,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,9,9,12,,,['s'],0,[0.15793429990299046],57.124178000027314,None,57.124178000027314,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,10,10,22,,,['k'],0,[0.027928499970585108],57.30764190014452,None,57.30764190014452,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,11,11,21,,,['s'],0,[0.16163960006088018],57.35787310008891,None,57.35787310008891,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,12,12,31,,,['k'],0,[0.1526319000404328],57.540998600190505,None,57.540998600190505,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,13,13,9,,,['s'],0,[0.04395029996521771],57.72467670007609,None,57.72467670007609,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,14,14,18,,,['k'],0,[0.08959829993546009],57.79089850001037,None,57.79089850001037,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,15,15,29,,,['s'],0,[0.0747191000264138],57.90753940003924,None,57.90753940003924,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,16,16,3,,,['k'],0,[0.03351670014671981],58.00754200015217,None,58.00754200015217,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,17,17,24,,,['s'],0,[0.13723690016195178],58.057640000013635,None,58.057640000013635,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,18,18,28,,,['k'],0,[0.0028780000284314156],58.22397839999758,None,58.22397839999758,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,19,19,11,,,"['s', 'k']",0,"[0.15361360018141568, 0.15878770011477172]",58.24065749999136,None,58.24065749999136,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,20,20,15,,,['s'],0,[0.13346910011023283],58.42375800013542,None,58.42375800013542,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,s = left,0,21,21,0,,,['k'],0,[0.17098050005733967],58.57368770008907,None,58.57368770008907,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,22,22,26,,,['s'],0,[0.1076619999948889],58.772829500027,None,58.772829500027,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,23,23,14,,,['k'],0,[0.059567200019955635],58.90634930017404,None,58.90634930017404,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,24,24,6,,,['s'],0,[0.11943479999899864],58.989821300143376,None,58.989821300143376,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,25,25,16,,,['k'],0,[0.028395600151270628],59.13970290008001,None,59.13970290008001,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,26,26,17,,,"['s', 'k']",0,"[0.1519271000288427, 0.157411300111562]",59.18977649998851,None,59.18977649998851,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,27,27,27,,,['s'],0,[0.16775229992344975],59.37285690009594,None,59.37285690009594,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,28,28,23,,,['s'],0,[0.22218600008636713],59.55606980016455,None,59.55606980016455,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,0,29,29,10,,,['k'],0,[0.07949410006403923],59.805850400123745,None,59.805850400123745,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,k = right,0,30,30,1,,,['s'],0,[0.13968089991249144],59.905230900039896,None,59.905230900039896,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,0,31,31,20,,,['k'],0,[0.2155561000108719],60.072542200097814,None,60.072542200097814,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,0,32,2,,,['s'],0,[0.04177250014618039],60.305065700085834,None,60.305065700085834,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,1,33,19,,,['k'],0,[0.16379610006697476],60.372244000202045,None,60.372244000202045,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,2,34,21,,,['s'],0,[0.14070549979805946],60.55538240005262,None,60.55538240005262,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,3,35,8,,,['k'],0,[0.04926110012456775],60.72182189999148,None,60.72182189999148,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,4,36,5,,,"['k', 's']",0,"[0.17344600008800626, 0.18409259989857674]",60.788691700203344,None,60.788691700203344,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,5,37,9,,,['k'],0,[0.17839860008098185],60.988484600093216,None,60.988484600093216,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,6,38,10,,,['s'],0,[0.058724300004541874],61.18827060004696,None,61.18827060004696,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,7,39,28,,,['k'],0,[0.11579239997081459],61.27150849997997,None,61.27150849997997,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,8,40,4,,,['s'],0,[0.08319719997234643],61.40467990003526,None,61.40467990003526,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,9,41,25,,,['k'],0,[0.09478479996323586],61.50477890018374,None,61.50477890018374,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,10,42,6,,,['s'],0,[0.11923069995827973],61.620982700027525,None,61.620982700027525,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,11,43,14,,,['k'],0,[0.017536200117319822],61.770895400084555,None,61.770895400084555,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,12,44,3,,,['s'],0,[0.15568990004248917],61.8043768000789,None,61.8043768000789,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,13,45,13,,,['k'],0,[0.020530999870970845],61.98764940002002,None,61.98764940002002,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,14,46,7,,,['s'],0,[0.10579950013197958],62.03766330005601,None,62.03766330005601,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,15,47,20,,,['k'],0,[0.04272710019722581],62.17015970009379,None,62.17015970009379,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,16,48,17,,,['s'],0,[0.08984400006011128],62.23736740020104,None,62.23736740020104,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,17,49,26,,,['k'],0,[0.03785600000992417],62.35390410013497,None,62.35390410013497,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,18,50,22,,,['s'],0,[0.11700349999591708],62.41990470001474,None,62.41990470001474,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,19,51,29,,,['k'],0,[0.0317049000877887],62.55382020003162,None,62.55382020003162,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,20,52,23,,,['s'],0,[1.2692240998148918],62.60374030005187,None,62.60374030005187,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,21,53,31,,,['k'],0,[0.07190079987049103],63.902616100152954,None,63.902616100152954,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,22,54,18,,,['s'],0,[0.08639930002391338],64.002525200136,None,64.002525200136,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,s = left,1,23,55,0,,,['k'],0,[0.012966499896720052],64.11893560015596,None,64.11893560015596,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,24,56,16,,,['s'],0,[0.13215720001608133],64.15246100001968,None,64.15246100001968,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,k = right,1,25,57,1,,,"['s', 'k']",0,"[0.1547630000859499, 0.15983589994721115]",64.30215810006484,None,64.30215810006484,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,26,58,30,,,['k'],0,[0.1366318000946194],64.48550519999117,None,64.48550519999117,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,27,59,12,,,['k'],0,[0.13306000013835728],64.65193690010346,None,64.65193690010346,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,1,28,60,27,,,['s'],0,[0.03580510010942817],64.80182970012538,None,64.80182970012538,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,29,61,11,,,['k'],0,[0.08969669998623431],64.86843110015616,None,64.86843110015616,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,30,62,24,,,['s'],0,[0.010749900015071034],64.98491050000302,None,64.98491050000302,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,1,31,63,15,,,['k'],0,[0.10333860013633966],65.01841920008883,None,65.01841920008883,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
