corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,2,0,64,22,,,['s'],0,[0.013152600033208728],65.15170970000327,None,65.15170970000327,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,k = right,2,1,65,1,,,['k'],0,[0.09870980004779994],65.18485540011898,None,65.18485540011898,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,2,66,27,,,['s'],0,[0.02343800012022257],65.30144720012322,None,65.30144720012322,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,3,67,26,,,['k'],0,[0.09335700003430247],65.35075560002588,None,65.35075560002588,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,s = left,2,4,68,0,,,['s'],0,[0.015379999997094274],65.46784600010142,None,65.46784600010142,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,5,69,23,,,['k'],0,[0.09413089998997748],65.50130610004999,None,65.50130610004999,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,6,70,6,,,['s'],0,[0.06913239997811615],65.61720179999247,None,65.61720179999247,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,7,71,19,,,['k'],0,[0.049671199871227145],65.70122990012169,None,65.70122990012169,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,8,72,20,,,['s'],0,[0.12105960003100336],65.7677955001127,None,65.7677955001127,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,9,73,15,,,['k'],0,[0.14886209997348487],65.91761150001548,None,65.91761150001548,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,10,74,21,,,['s'],0,[0.001726000104099512],66.08419010019861,None,66.08419010019861,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,11,75,11,,,['k'],0,[0.1406156998127699],66.10104660014622,None,66.10104660014622,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,12,76,3,,,['s'],0,[0.006284800125285983],66.26740550016984,None,66.26740550016984,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,13,77,7,,,['s'],0,[0.4865154998842627],66.30063599999994,None,66.30063599999994,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,14,78,29,,,['s'],0,[1.056015299865976],66.81678160000592,None,66.81678160000592,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,15,79,5,,,['s'],0,[0.1917401000391692],67.89936799998395,None,67.89936799998395,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,16,80,13,,,['k'],0,[0.1736825001426041],68.11580849997699,None,68.11580849997699,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,17,81,10,,,['s'],0,[0.027426700107753277],68.31560850003734,None,68.31560850003734,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,18,82,16,,,['k'],0,[0.09573119995184243],68.3656913000159,None,68.3656913000159,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,19,83,18,,,['s'],0,[0.016673200065270066],68.48224050016142,None,68.48224050016142,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,20,84,14,,,['k'],0,[0.10192180005833507],68.51552690006793,None,68.51552690006793,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,21,85,8,,,['s'],0,[0.011494599981233478],68.64875970012508,None,68.64875970012508,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,22,86,31,,,['k'],0,[0.09796410007402301],68.6821742001921,None,68.6821742001921,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,23,87,17,,,['k'],0,[0.14551719999872148],68.79882520018145,None,68.79882520018145,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,24,88,25,,,"['s', 'k']",0,"[0.10349699994549155, 0.11476469994522631]",68.9652541000396,None,68.9652541000396,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,25,89,28,,,['s'],0,[0.1242488999851048],69.09848300018348,None,69.09848300018348,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,26,90,4,,,['k'],0,[0.13315479992888868],69.24827510002069,None,69.24827510002069,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,27,91,12,,,['k'],0,[0.13156219990924],69.39812580007128,None,69.39812580007128,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,28,92,30,,,['s'],0,[0.13663520012050867],69.54737840010785,None,69.54737840010785,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,29,93,24,,,['k'],0,[0.017937199911102653],69.71403680020012,None,69.71403680020012,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,2,30,94,2,,,['s'],0,[0.13793640001676977],69.7477535000071,None,69.7477535000071,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,2,31,95,9,,,['s'],0,[0.13647979986853898],69.91450070007704,None,69.91450070007704,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,0,96,10,,,['k'],0,[0.0022958999034017324],70.08082480006851,None,70.08082480006851,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,1,97,31,,,['s'],0,[0.1256291999015957],70.09773040004075,None,70.09773040004075,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,2,98,18,,,['k'],0,[0.0027614999562501907],70.24734980007634,None,70.24734980007634,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,3,99,12,,,['s'],0,[0.14864939986728132],70.2639456000179,None,70.2639456000179,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,4,100,8,,,['k'],0,[0.14052590006031096],70.43056960008107,None,70.43056960008107,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,5,101,17,,,['s'],0,[0.0010865000076591969],70.597229400184,None,70.597229400184,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,6,102,13,,,['k'],0,[0.12515809992328286],70.61387940007262,None,70.61387940007262,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,7,103,22,,,['s'],0,[0.039567200001329184],70.76364310015924,None,70.76364310015924,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,8,104,16,,,['k'],0,[0.13175829988904297],70.83037840016186,None,70.83037840016186,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,9,105,15,,,['s'],0,[0.08227539993822575],70.98048320016824,None,70.98048320016824,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,10,106,4,,,['k'],0,[0.1323311000596732],71.0801928001456,None,71.0801928001456,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,11,107,2,,,['k'],0,[0.14742389996536076],71.22987959999591,None,71.22987959999591,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,12,108,24,,,['s'],0,[0.050425299908965826],71.39580950001255,None,71.39580950001255,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,13,109,26,,,['k'],0,[0.1177747999317944],71.46328470017761,None,71.46328470017761,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,14,110,9,,,['s'],0,[0.02213530009612441],71.59634230006486,None,71.59634230006486,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,15,111,6,,,['k'],0,[0.09878899995237589],71.64636270003393,None,71.64636270003393,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,16,112,23,,,['s'],0,[0.028430600184947252],71.76324230013415,None,71.76324230013415,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,17,113,25,,,['k'],0,[0.1240417999215424],71.81275000004098,None,71.81275000004098,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,18,114,5,,,['k'],0,[0.1533458000048995],71.96271820017137,None,71.96271820017137,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,19,115,3,,,['s'],0,[0.007622299948707223],72.14590680017136,None,72.14590680017136,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,20,116,19,,,['k'],0,[0.09971380000934005],72.17920260014944,None,72.17920260014944,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
k,None,3,21,117,28,,,['s'],0,[0.004132600035518408],72.29571480001323,None,72.29571480001323,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,None,3,22,118,11,,,['k'],0,[0.11627930006943643],72.32893000007607,None,72.32893000007607,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
s,s = left,3,23,119,0,,,['k'],0,[0.7644440999720246],72.46229150006548,None,72.46229150006548,None,1,001,2020_Nov_02_1403,road map expt,2020.2.4,60.034712069252784,
