corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.rt,directionResponses.started,directionResponses.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,16.50408779992722,None,17.35581719991751,None,['k'],0,[15.212847799994051],17.35581719991751,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,1,0,1,0,,,32.604505700059235,None,['k'],0,[0.3522932999767363],32.604505700059235,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,2,0,2,0,,,32.981461900053546,None,['k'],0,[0.3908784999512136],32.981461900053546,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,3,0,3,0,,,33.40137750003487,None,['k'],0,[0.2705829998012632],33.40137750003487,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,4,0,4,0,,,33.69993399991654,None,['k'],0,[0.2900518998503685],33.69993399991654,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,5,0,5,0,,,34.015727299964055,None,['k'],0,[0.29646440013311803],34.015727299964055,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,6,0,6,0,,,34.33625759999268,None,['k'],0,[0.5772580001503229],34.33625759999268,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,7,0,7,0,,,34.93405540008098,None,['k'],0,[0.26510610012337565],34.93405540008098,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,8,0,8,0,,,35.231031799921766,None,['k'],0,[0.2515808998141438],35.231031799921766,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,9,0,9,0,,,35.51556780003011,None,['k'],0,[0.22905669989995658],35.51556780003011,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,10,0,10,0,,,35.76717670005746,None,['k'],0,[0.22866989998146892],35.76717670005746,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,11,0,11,0,,,36.01970970002003,None,['k'],0,[0.1709139000158757],36.01970970002003,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
s,s = left,12,0,12,0,,,36.21169320004992,None,['k'],0,[0.19943729997612536],36.21169320004992,None,,,1,001,2020_Nov_09_1316,road map expt,2020.2.4,60.03802811097494,
