corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.rt,directionResponses.started,directionResponses.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,9.960312400013208,None,10.662393799982965,None,['s'],0,[18.695880000013858],10.662393799982965,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,1,0,1,0,,,29.385923400055617,None,['k'],0,[0.3834398000035435],29.385923400055617,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,2,0,2,0,,,29.78563329996541,None,['s'],0,[0.3440249999985099],29.78563329996541,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,3,0,3,0,,,30.152321700006723,None,['k'],0,[0.29976790002547204],30.152321700006723,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,4,0,4,0,,,30.46908050007187,None,['s'],0,[0.2984211000148207],30.46908050007187,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,5,0,5,0,,,30.786314000142738,None,['k'],0,[0.2703279999550432],30.786314000142738,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,6,0,6,0,,,31.085391600150615,None,['s'],0,[0.24848979990929365],31.085391600150615,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,7,0,7,0,,,31.351069600088522,None,['k'],0,[0.2614420000463724],31.351069600088522,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,8,0,8,0,,,31.63382580014877,None,['s'],0,[0.20141209987923503],31.63382580014877,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,9,0,9,0,,,31.850330400047824,None,['k'],0,[0.2954972998704761],31.850330400047824,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,10,0,10,0,,,32.167150099994615,None,['s'],0,[0.2517971000634134],32.167150099994615,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,11,0,11,0,,,32.45016560005024,None,['k'],0,[0.24489390011876822],32.45016560005024,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,12,0,12,0,,,32.71720029995777,None,['s'],0,[0.25978490011766553],32.71720029995777,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,13,0,13,0,,,32.99959080014378,None,['k'],0,[0.22370860003866255],32.99959080014378,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,14,0,14,0,,,33.25088700000197,None,['s'],0,[0.2573478000704199],33.25088700000197,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,15,0,15,0,,,33.532511400058866,None,['k'],0,[0.2206847001798451],33.532511400058866,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,16,0,16,0,,,33.78305199998431,None,['s'],0,[0.2595307999290526],33.78305199998431,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,17,0,17,0,,,34.065183400176466,None,['k'],0,[0.2632820999715477],34.065183400176466,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,18,0,18,0,,,34.34844189998694,None,['s'],0,[0.2962938998825848],34.34844189998694,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,19,0,19,0,,,34.66522149997763,None,['k'],0,[0.2697840000037104],34.66522149997763,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
s,s = left,20,0,20,0,,,34.9649038000498,None,['s'],0,[0.24321720004081726],34.9649038000498,None,,,1,001,2020_Nov_04_1422,road map expt,2020.2.4,60.16206461305059,
