corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.rt,directions.started,directions.stopped,map.started,map.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,5,9.975711300037801,None,['k'],0,[27.376957000000402],11.8077392000705,None,11.8077392000705,31.81274570012465,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
k,None,0,1,1,10,,,['s'],0,[2.2092518000863492],39.20875930017792,None,39.20875930017792,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,2,2,4,,,['k'],0,[0.26183159998618066],41.440015100175515,None,41.440015100175515,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,3,3,25,,,['s'],0,[0.18883560015819967],41.72344380011782,None,41.72344380011782,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
k,None,0,4,4,28,,,['k'],0,[0.19203699985519052],41.939938500057906,None,41.939938500057906,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,5,5,29,,,['s'],0,[0.16106819990091026],42.15638280007988,None,42.15638280007988,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
k,None,0,6,6,7,,,['k'],0,[0.154538800008595],42.33961220015772,None,42.33961220015772,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,7,7,24,,,['s'],0,[0.12346070003695786],42.52264350000769,None,42.52264350000769,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,8,8,19,,,['k'],0,[0.10719160013832152],42.67256600013934,None,42.67256600013934,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
s,None,0,9,9,11,,,['s'],0,[0.12204489996656775],42.805746000027284,None,42.805746000027284,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
k,None,0,10,10,3,,,['k'],0,[0.08420750009827316],42.95570610021241,None,42.95570610021241,None,1,001,2020_Nov_02_1405,road map expt,2020.2.4,60.04891586980624,
