corrAns,directNote,displayMap.thisRepN,displayMap.thisTrialN,displayMap.thisN,displayMap.thisIndex,instrText.started,instrText.stopped,map.started,map.stopped,directionResponses.keys,directionResponses.corr,directionResponses.started,directionResponses.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,s = left,0,0,0,0,17.133858299814165,None,18.80779379978776,None,None,0,18.80779379978776,None,1,001,2020_Nov_05_2315,road map expt,2020.2.4,60.05746302664529,
s,s = left,1,0,1,0,,,38.56559139979072,None,None,0,38.56559139979072,None,1,001,2020_Nov_05_2315,road map expt,2020.2.4,60.05746302664529,
