corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,0,0,25,10.51844389992766,None,None,0,11.840725099900737,None,11.840725099900737,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,1,1,30,,,None,0,13.596475899918005,None,13.596475899918005,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,2,2,21,,,None,0,15.594634599983692,None,15.594634599983692,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,3,3,2,,,None,0,17.593750200001523,None,17.593750200001523,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,4,4,22,,,None,0,19.592208599904552,None,19.592208599904552,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,5,5,10,,,None,0,21.59077929984778,None,21.59077929984778,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,6,6,17,,,None,0,23.58822979987599,None,23.58822979987599,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,7,7,31,,,None,0,25.5875412998721,None,25.5875412998721,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,8,8,28,,,None,0,27.585829499876127,None,27.585829499876127,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,9,9,13,,,None,0,29.600959399947897,None,29.600959399947897,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,10,10,9,,,None,0,31.598920699907467,None,31.598920699907467,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,11,11,15,,,None,0,33.59747939999215,None,33.59747939999215,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,12,12,3,,,None,0,35.59506820002571,None,35.59506820002571,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,13,13,6,,,None,0,37.59424029989168,None,37.59424029989168,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,14,14,7,,,None,0,39.592316299909726,None,39.592316299909726,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,15,15,27,,,['s'],0,41.590441199950874,None,41.590441199950874,None,[1.0251088000368327],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,16,16,12,,,None,0,42.64071479998529,None,42.64071479998529,None,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,17,17,20,,,None,0,44.65484660002403,44.65484660002403,44.65484660002403,44.65484660002403,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,18,18,29,,,None,0,46.66947550000623,46.66947550000623,46.66947550000623,46.66947550000623,,,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,19,19,11,,,['k'],0,48.68449499993585,48.68449499993585,48.68449499993585,48.68449499993585,[1.523210900137201],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,20,20,8,,,['k'],0,50.233969300054014,None,50.233969300054014,None,[1.266415199963376],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,21,21,26,,,['k'],0,51.53205160005018,None,51.53205160005018,None,[0.2912863998208195],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,22,22,18,,,['k'],0,51.84933719993569,None,51.84933719993569,None,[0.24216670007444918],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,23,23,14,,,['k'],0,52.115118300076574,None,52.115118300076574,None,[0.24665779992938042],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,k = right,0,24,24,1,,,['k'],0,52.38287459989078,None,52.38287459989078,None,[0.24988030013628304],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,25,25,5,,,['k'],0,52.649766199989244,None,52.649766199989244,None,[0.2581631999928504],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,26,26,4,,,['k'],0,52.93125450005755,None,52.93125450005755,None,[0.26023279991932213],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,27,27,24,,,['k'],0,53.21461639995687,None,53.21461639995687,None,[0.2589185000397265],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,28,28,16,,,['k'],0,53.49705499992706,None,53.49705499992706,None,[0.2458472999278456],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
k,None,0,29,29,23,,,['k'],0,53.76349499984644,None,53.76349499984644,None,[0.2613677999470383],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,None,0,30,30,19,,,['k'],0,54.047044599894434,None,54.047044599894434,None,[0.2428737001027912],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
s,s = left,0,31,31,0,,,['k'],0,54.31284469994716,None,54.31284469994716,None,[0.2146970999892801],,,1,001,2020_Nov_01_2224,road map expt,2020.2.4,59.92286722814881,
,,,,,,,,,,,,,,,54.54475690005347,None,,,,,,,
