2.9766 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.1560 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
17.7537 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C0BA074978>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C0BA4899B0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.7545 	EXP 	window1: mouseVisible = True
17.7546 	EXP 	window1: recordFrameIntervals = False
17.9188 	EXP 	window1: recordFrameIntervals = True
18.1021 	EXP 	window1: recordFrameIntervals = False
18.7354 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
19.3179 	EXP 	Created map = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='image/RMT_test_map.jpg', interpolate=True, mask=None, maskParams=None, name='map', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.75, 0.75]), texRes=128, units='height', win=Window(...))
19.3909 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Finished', units='height', win=Window(...), wrapWidth=1)
19.4530 	EXP 	instrText: autoDraw = True
22.7825 	EXP 	Imported road map conditions.xlsx as conditions, 32 conditions, 2 params
22.7832 	EXP 	Created sequence: sequential, trialTypes=32, nReps=1, seed=None
22.7838 	EXP 	New trial (rep=0, index=0): OrderedDict([('corrAns', 's'), ('directNote', 's = left')])
23.1182 	DATA 	Keypress: right
23.1265 	EXP 	instrText: autoDraw = False
23.1265 	EXP 	map: autoDraw = True
25.8264 	DATA 	Keypress: right
26.0069 	DATA 	Keypress: left
26.3401 	DATA 	Keypress: left
26.4414 	DATA 	Keypress: right
26.5870 	DATA 	Keypress: left
26.6878 	DATA 	Keypress: right
26.7886 	DATA 	Keypress: left
26.8738 	DATA 	Keypress: right
26.9523 	DATA 	Keypress: left
27.0351 	DATA 	Keypress: right
27.1204 	DATA 	Keypress: left
27.2508 	DATA 	Keypress: right
27.4383 	DATA 	Keypress: right
27.5523 	DATA 	Keypress: left
27.7531 	DATA 	Keypress: left
27.8376 	DATA 	Keypress: right
27.8695 	DATA 	Keypress: left
