2.9766 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
27.9853 	DATA 	Keypress: right
28.0017 	DATA 	Keypress: left
28.1350 	DATA 	Keypress: left
28.2523 	DATA 	Keypress: right
28.3513 	DATA 	Keypress: left
28.4179 	DATA 	Keypress: right
28.5033 	DATA 	Keypress: left
28.6184 	DATA 	Keypress: right
28.6857 	DATA 	Keypress: left
28.7695 	DATA 	Keypress: right
28.8185 	DATA 	Keypress: left
28.9570 	DATA 	Keypress: right
28.9835 	DATA 	Keypress: left
29.1508 	DATA 	Keypress: left
29.2509 	DATA 	Keypress: right
29.3511 	DATA 	Keypress: left
29.4500 	DATA 	Keypress: right
29.5338 	DATA 	Keypress: left
29.6997 	DATA 	Keypress: left
29.8193 	DATA 	Keypress: right
30.0008 	DATA 	Keypress: left
30.0027 	DATA 	Keypress: right
30.1165 	DATA 	Keypress: left
30.2331 	DATA 	Keypress: right
30.3000 	DATA 	Keypress: left
30.3657 	DATA 	Keypress: right
30.4497 	DATA 	Keypress: left
30.5483 	DATA 	Keypress: right
30.6168 	DATA 	Keypress: left
30.7177 	DATA 	Keypress: right
30.7998 	DATA 	Keypress: left
30.8664 	DATA 	Keypress: right
30.9530 	DATA 	Keypress: left
31.0485 	DATA 	Keypress: right
31.1493 	DATA 	Keypress: left
31.2502 	DATA 	Keypress: right
31.3495 	DATA 	Keypress: left
31.4320 	DATA 	Keypress: right
31.5830 	DATA 	Keypress: left
31.7505 	DATA 	Keypress: right
31.8895 	DATA 	Keypress: left
31.9500 	DATA 	Keypress: right
32.0356 	DATA 	Keypress: left
32.1350 	DATA 	Keypress: right
32.2188 	DATA 	Keypress: left
32.3464 	DATA 	Keypress: right
32.4297 	DATA 	Keypress: left
32.5311 	DATA 	Keypress: right
32.6148 	DATA 	Keypress: left
32.7303 	DATA 	Keypress: right
32.8657 	DATA 	Keypress: right
32.9313 	DATA 	Keypress: left
33.1639 	DATA 	Keypress: right
33.2692 	DATA 	Keypress: left
33.3640 	DATA 	Keypress: right
33.4477 	DATA 	Keypress: left
33.5469 	DATA 	Keypress: right
33.6466 	DATA 	Keypress: left
33.7462 	DATA 	Keypress: right
33.7835 	DATA 	Keypress: left
42.6732 	EXP 	New trial (rep=0, index=1): OrderedDict([('corrAns', 's'), ('directNote', 'k = right')])
42.6829 	EXP 	map: autoDraw = False
42.6829 	EXP 	map: autoDraw = True
55.7805 	DATA 	Keypress: space
56.3436 	DATA 	Keypress: space
56.8666 	DATA 	Keypress: space
58.1598 	DATA 	Keypress: escape
58.7757 	EXP 	window1: mouseVisible = True
