corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,None,0,23,23,19,,,None,0,33.59644430014305,33.59644430014305,33.59644430014305,33.59644430014305,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,24,24,10,,,None,0,34.61236110003665,34.61236110003665,34.61236110003665,34.61236110003665,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,25,25,23,,,None,0,35.61159800016321,35.61159800016321,35.61159800016321,35.61159800016321,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,26,26,18,,,None,0,36.62726720003411,36.62726720003411,36.62726720003411,36.62726720003411,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,27,27,29,,,None,0,37.64312620018609,37.64312620018609,37.64312620018609,37.64312620018609,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,28,28,31,,,None,0,38.64236170006916,38.64236170006916,38.64236170006916,38.64236170006916,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,29,29,25,,,None,0,39.641422800021246,39.641422800021246,39.641422800021246,39.641422800021246,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,30,30,5,,,None,0,40.65638700011186,40.65638700011186,40.65638700011186,40.65638700011186,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,31,31,14,,,None,0,41.65667779999785,41.65667779999785,41.65667779999785,41.65667779999785,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
,,,,,,,,,,,,,,,42.670215900056064,None,,,,,,,
