corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,3,10.176792800193653,None,None,0,11.049474700121209,None,11.049474700121209,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,1,1,2,,,None,0,11.79708579997532,None,11.79708579997532,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,2,2,30,,,None,0,12.796764899976552,None,12.796764899976552,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,3,3,12,,,None,0,13.795902000041679,None,13.795902000041679,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,4,4,7,,,None,0,14.795084499986842,None,14.795084499986842,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,5,5,6,,,None,0,15.79430350009352,None,15.79430350009352,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,6,6,4,,,None,0,16.792956500081345,None,16.792956500081345,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,7,7,26,,,None,0,17.791815100004897,None,17.791815100004897,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,8,8,17,,,None,0,18.79128250014037,None,18.79128250014037,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,9,9,13,,,None,0,19.789978499989957,None,19.789978499989957,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,10,10,16,,,None,0,20.78974450007081,None,20.78974450007081,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,11,11,24,,,None,0,21.789524200139567,None,21.789524200139567,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,12,12,9,,,None,0,22.788816600106657,None,22.788816600106657,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,13,13,27,,,None,0,23.78796169999987,None,23.78796169999987,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,14,14,11,,,None,0,24.787264700047672,None,24.787264700047672,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,15,15,20,,,None,0,25.786213600076735,None,25.786213600076735,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,s = left,0,16,16,0,,,None,0,26.78549819998443,None,26.78549819998443,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,17,17,8,,,['s'],0,27.784646700136364,None,27.784646700136364,None,[0.7483916999772191],,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,18,18,28,,,None,0,28.551593100186437,None,28.551593100186437,None,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,19,19,21,,,None,0,29.566463000141084,29.566463000141084,29.566463000141084,29.566463000141084,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,k = right,0,20,20,1,,,None,0,30.581281800055876,30.581281800055876,30.581281800055876,30.581281800055876,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
s,None,0,21,21,15,,,None,0,31.581510700052604,31.581510700052604,31.581510700052604,31.581510700052604,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
k,None,0,22,22,22,,,None,0,32.59657150018029,32.59657150018029,32.59657150018029,32.59657150018029,,,,1,001,2020_Nov_01_2226,road map expt,2020.2.4,59.79216247554524,
