corrAns,directNote,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,directions.keys,directions.corr,directions.started,directions.stopped,map.started,map.stopped,directions.rt,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
k,None,0,0,0,30,18.898648499976844,None,None,0,72.26809350005351,None,72.26809350005351,None,,,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,1,1,17,,,None,0,91.9602761999704,None,91.9602761999704,None,,,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,2,2,18,,,None,0,111.96055430010892,None,111.96055430010892,None,,,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,3,3,4,,,None,0,131.9607401001267,None,131.9607401001267,None,,,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,4,4,14,,,None,0,151.9603395999875,None,151.9603395999875,None,,,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,k = right,0,5,5,1,,,['s'],0,171.96118310000747,None,171.96118310000747,None,[18.956838099984452],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,6,6,31,,,['k'],0,190.94594469992444,None,190.94594469992444,None,[0.2647326998412609],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,7,7,24,,,['s'],0,191.2302107999567,None,191.2302107999567,None,[0.3041934999637306],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,8,8,25,,,['k'],0,191.56158660002984,None,191.56158660002984,None,[0.27083110017701983],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,9,9,10,,,['s'],0,191.86126479995437,None,191.86126479995437,None,[0.31235720007680357],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,10,10,12,,,['k'],0,192.19461170001887,None,192.19461170001887,None,[0.2923747000750154],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,11,11,27,,,['s'],0,192.51073130010627,None,192.51073130010627,None,[0.3319745999760926],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,12,12,13,,,['k'],0,192.86100069992244,None,192.86100069992244,None,[0.28025990002788603],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,13,13,23,,,['s'],0,193.16135059995577,None,193.16135059995577,None,[0.3184126999694854],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,14,14,28,,,['k'],0,193.51018669991754,None,193.51018669991754,None,[0.24993219994939864],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,15,15,6,,,['s'],0,193.77672840002924,None,193.77672840002924,None,[0.31423650006763637],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,16,16,20,,,['k'],0,194.1097160000354,None,194.1097160000354,None,[0.24278299999423325],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,17,17,16,,,['s'],0,194.3755902000703,None,194.3755902000703,None,[0.32357419980689883],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,18,18,2,,,['k'],0,194.72590190009214,None,194.72590190009214,None,[0.2434419000055641],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,19,19,19,,,['s'],0,194.99130910006352,None,194.99130910006352,None,[0.32052790001034737],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,s = left,0,20,20,0,,,['k'],0,195.34091460006312,None,195.34091460006312,None,[0.28703850018791854],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,21,21,15,,,['s'],0,195.65809020004235,None,195.65809020004235,None,[0.29472950007766485],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
s,None,0,22,22,26,,,['k'],0,195.97464890009724,None,195.97464890009724,None,[0.25833910005167127],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
k,None,0,23,23,22,,,['s'],0,196.25750469998457,None,196.25750469998457,None,[0.2780337000731379],,,,,,,1,001,2020_Nov_01_2000,road map expt,2020.2.4,60.044877617625694,
